Unnamed: 0,Valor R$*,Var./Dia,Var./Mês,Valor US$*
13/03/2026,34660,"-0,26%","-1,85%",6524
12/03/2026,34750,"0,07%","-1,60%",6635
11/03/2026,34725,"0,13%","-1,67%",6724
10/03/2026,34680,"-0,17%","-1,80%",6720
09/03/2026,34740,"0,39%","-1,63%",6717
06/03/2026,34605,"-0,36%","-2,01%",6591
05/03/2026,34730,"-0,39%","-1,66%",6575
04/03/2026,34865,"-0,53%","-1,27%",6680
03/03/2026,35050,"-0,74%","-0,75%",6650
02/03/2026,35310,"-0,01%","-0,01%",6831
27/02/2026,35315,"0,10%","8,03%",6875
26/02/2026,35280,"0,51%","7,92%",6858
25/02/2026,35100,"0,26%","7,37%",6846
24/02/2026,35010,"0,10%","7,10%",6791
23/02/2026,34975,"0,34%","6,99%",6768
