data,preco_reais,var_dia,var_mes,preco_dolar
2026-03-13,346.6,"-0,26%","-1,85%",6524
2026-03-12,347.5,"0,07%","-1,60%",6635
2026-03-11,347.25,"0,13%","-1,67%",6724
2026-03-10,346.8,"-0,17%","-1,80%",6720
2026-03-09,347.4,"0,39%","-1,63%",6717
2026-03-06,346.05,"-0,36%","-2,01%",6591
2026-03-05,347.3,"-0,39%","-1,66%",6575
2026-03-04,348.65,"-0,53%","-1,27%",6680
2026-03-03,350.5,"-0,74%","-0,75%",6650
2026-03-02,353.1,"-0,01%","-0,01%",6831
2026-02-27,353.15,"0,10%","8,03%",6875
2026-02-26,352.8,"0,51%","7,92%",6858
2026-02-25,351.0,"0,26%","7,37%",6846
2026-02-24,350.1,"0,10%","7,10%",6791
2026-02-23,349.75,"0,34%","6,99%",6768
