Unnamed: 0,Região,Valor R$/t,A Prazo,Prazo pgto.
2 - 06/03/2026,ESM - MS,50591,50693,1700
2 - 06/03/2026,SOM - MS,46991,47086,2200
2 - 06/03/2026,COP - PR,52324,52430,2100
2 - 06/03/2026,EOP - PR,53198,53306,700
2 - 06/03/2026,NOP - PR,51043,51146,1900
2 - 06/03/2026,ASS - SP,45667,45760,2000
23 - 27/02/2026,ESM - MS,49333,49424,2000
23 - 27/02/2026,SOM - MS,46795,46881,2200
23 - 27/02/2026,COP - PR,51795,51891,2500
23 - 27/02/2026,EOP - PR,51884,51980,1600
23 - 27/02/2026,NOP - PR,49961,50053,2100
23 - 27/02/2026,ASS - SP,44144,44225,2300
