Unnamed: 0,Região,Branco,Var./Dia,Vermelho,Var./Dia.1
13/03/2026,Grande BH - (MG) - CIF,20046,"5,81%",22339,"6,14%"
13/03/2026,Recife (PE) - CIF,18756,"2,94%",19723,"6,88%"
13/03/2026,S. M. de Jetibá (ES) - FOB,19613,"2,68%",22290,"5,02%"
13/03/2026,Grande SP (SP) - CIF,18251,"2,63%",20725,"3,22%"
13/03/2026,Bastos (SP) - FOB,17372,"2,87%",20121,"2,99%"
12/03/2026,Grande BH - (MG) - CIF,18946,"0,58%",21046,"0,57%"
12/03/2026,Recife (PE) - CIF,18220,"3,40%",18453,"2,49%"
12/03/2026,S. M. de Jetibá (ES) - FOB,19100,"2,78%",21224,"1,78%"
12/03/2026,Bastos (SP) - FOB,16887,"0,04%",19536,"0,27%"
12/03/2026,Grande SP (SP) - CIF,17783,"0,04%",20077,"-0,06%"
11/03/2026,Recife (PE) - CIF,17621,"3,50%",18004,"0,79%"
11/03/2026,Bastos (SP) - FOB,16881,"-0,01%",19484,-
11/03/2026,S. M. de Jetibá (ES) - FOB,18584,"1,08%",20853,"1,21%"
11/03/2026,Grande SP (SP) - CIF,17776,"-0,14%",20091,-
11/03/2026,Grande BH - (MG) - CIF,18837,-,20926,-
